scorer,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000
bodyparts,Head,Head,Head,Mid,Mid,Mid,Tail,Tail,Tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
14,128.2060546875,411.2564392089844,0.1377689689397812,146.68345642089844,417.6315612792969,0.1010069027543068,126.73666381835938,411.42462158203125,0.18570975959300995
15,128.2060546875,411.2494812011719,0.24134290218353271,146.62669372558594,417.49359130859375,0.09073182195425034,126.73666381835938,411.4209289550781,0.09031209349632263
16,128.2767791748047,411.2494812011719,0.10830439627170563,146.62669372558594,417.6601867675781,0.07496342808008194,126.77367401123047,411.4053955078125,0.21644245088100433
17,128.2060546875,411.2564392089844,0.16783055663108826,146.6324005126953,417.48651123046875,0.12756535410881042,126.77367401123047,411.4053955078125,0.3103322684764862
18,128.2060546875,411.3034362792969,0.13336794078350067,146.62669372558594,417.48651123046875,0.1705692857503891,126.77367401123047,411.4053955078125,0.3800451159477234
19,128.22264099121094,411.3034362792969,0.10096237808465958,146.62669372558594,417.48651123046875,0.19186179339885712,126.77295684814453,411.3669128417969,0.5200908184051514
20,128.22264099121094,411.3034362792969,0.0973430648446083,146.6324005126953,417.60400390625,0.06540191918611526,126.77295684814453,411.3669128417969,0.1382061094045639
21,128.22264099121094,411.2182922363281,0.15352942049503326,146.68045043945312,417.4707336425781,0.11482234299182892,126.77295684814453,411.3194274902344,0.2584936320781708
22,128.22264099121094,411.2182922363281,0.1232462078332901,146.64256286621094,417.5194396972656,0.11852336674928665,126.65908813476562,411.3194274902344,0.36626675724983215
23,128.22264099121094,411.2095031738281,0.16460424661636353,146.64256286621094,417.60400390625,0.18971291184425354,126.65908813476562,411.3669128417969,0.3775164783000946
24,128.4014434814453,411.2095031738281,0.08561927080154419,146.64256286621094,417.60400390625,0.11177542805671692,126.80301666259766,411.3194274902344,0.39213693141937256
25,128.58692932128906,411.39154052734375,0.1058787927031517,146.64256286621094,417.6120300292969,0.05407670512795448,126.80301666259766,411.58056640625,0.14642201364040375
26,128.58692932128906,411.39154052734375,0.07093032449483871,146.64256286621094,417.6120300292969,0.07932572811841965,126.5804443359375,411.58056640625,0.25542792677879333
27,128.58692932128906,411.3432922363281,0.06048423424363136,146.70558166503906,417.6120300292969,0.15341193974018097,126.71717071533203,411.53704833984375,0.4910351037979126
28,128.0516815185547,411.3432922363281,0.14592184126377106,146.75302124023438,417.4828186035156,0.20474998652935028,126.5804443359375,411.26171875,0.4478592574596405
29,128.0516815185547,411.2945251464844,0.07669655978679657,146.75302124023438,417.44732666015625,0.13397447764873505,126.5804443359375,411.34332275390625,0.44481274485588074
30,128.0516815185547,411.2242126464844,0.2238709181547165,146.7816925048828,417.3787536621094,0.17232315242290497,126.5804443359375,411.3210754394531,0.3946695029735565
31,128.04861450195312,411.1694641113281,0.1796744167804718,146.70558166503906,417.2503967285156,0.07738790661096573,126.54695129394531,411.3210754394531,0.12423565238714218
32,128.09844970703125,411.1694641113281,0.16465824842453003,146.79669189453125,417.2503967285156,0.17832152545452118,126.54695129394531,411.3210754394531,0.2854541540145874
33,128.1396484375,411.1722412109375,0.1881479173898697,146.70516967773438,417.28326416015625,0.16545319557189941,126.57931518554688,411.3210754394531,0.3983205258846283
34,128.1396484375,411.2242126464844,0.19923321902751923,146.70516967773438,417.28326416015625,0.19642965495586395,126.57931518554688,411.224609375,0.3638816177845001
35,128.09844970703125,411.1722412109375,0.15831217169761658,146.70516967773438,417.28326416015625,0.09180963039398193,126.57931518554688,411.1500549316406,0.22748367488384247
36,128.18695068359375,411.291259765625,0.10396228730678558,146.7696533203125,417.4551696777344,0.05980671942234039,126.65652465820312,411.224609375,0.15344016253948212
37,128.2002410888672,411.28973388671875,0.2750741243362427,146.2910919189453,417.4551696777344,0.16945485770702362,126.58767700195312,411.224609375,0.3185766637325287
38,128.2002410888672,411.28973388671875,0.12166806310415268,146.49949645996094,417.4841003417969,0.18550848960876465,126.58767700195312,411.3138427734375,0.3549546003341675
39,128.2002410888672,411.2813720703125,0.08724193274974823,146.49949645996094,417.4841003417969,0.07096324861049652,126.58767700195312,411.4508972167969,0.21984554827213287
40,128.2002410888672,411.28973388671875,0.10869155079126358,146.49949645996094,417.4841003417969,0.15095454454421997,126.59635925292969,411.4580993652344,0.44018203020095825
41,128.18899536132812,411.2813720703125,0.08074702322483063,146.49949645996094,417.3930969238281,0.0464511476457119,126.58767700195312,411.4580993652344,0.14848744869232178
42,128.0625,411.2813720703125,0.16142307221889496,146.49949645996094,417.2640380859375,0.13838507235050201,126.59635925292969,411.4580993652344,0.2622429132461548
43,128.0625,411.32501220703125,0.16146384179592133,146.84133911132812,417.2640380859375,0.17603646218776703,126.63027954101562,411.4580993652344,0.35854363441467285
44,128.0625,411.36138916015625,0.14245061576366425,146.84133911132812,417.28411865234375,0.1560211479663849,126.63027954101562,411.4580993652344,0.3980953097343445
45,128.0625,411.32501220703125,0.14637874066829681,146.3905029296875,417.3393859863281,0.21417146921157837,126.7125015258789,411.4366149902344,0.5557196140289307
46,128.0625,411.32501220703125,0.0974930003285408,146.3905029296875,417.28411865234375,0.05067054554820061,126.7125015258789,411.4366149902344,0.13851797580718994
47,128.00747680664062,411.23406982421875,0.12047567963600159,146.46139526367188,417.28411865234375,0.062189653515815735,126.63027954101562,411.3070983886719,0.14509892463684082
48,127.943603515625,411.1873779296875,0.11417859047651291,146.2598876953125,417.2337646484375,0.123314268887043,126.48701477050781,411.26226806640625,0.3464618921279907
49,127.943603515625,411.185546875,0.1825336366891861,146.2598876953125,417.2337646484375,0.13933126628398895,126.48701477050781,411.25006103515625,0.36233365535736084
50,127.943603515625,411.0939636230469,0.17827296257019043,146.34060668945312,417.2337646484375,0.16408899426460266,126.48701477050781,411.25006103515625,0.4376493990421295
51,127.97451782226562,411.1781311035156,0.12672439217567444,146.34060668945312,417.2445983886719,0.06654065102338791,126.63673400878906,411.26226806640625,0.19680139422416687
52,127.97451782226562,411.0401611328125,0.11342232674360275,146.34060668945312,417.2445983886719,0.061663851141929626,126.63673400878906,411.26226806640625,0.12367327511310577
53,127.97451782226562,410.990478515625,0.12976126372814178,146.4394989013672,417.2445983886719,0.08855318278074265,126.63673400878906,411.1858215332031,0.23105177283287048
54,127.97451782226562,410.990478515625,0.23144353926181793,146.4394989013672,417.2445983886719,0.1111830472946167,126.63673400878906,411.2671203613281,0.25078001618385315
55,127.97451782226562,410.9533996582031,0.24753405153751373,146.4394989013672,417.2445983886719,0.2348954826593399,126.37873077392578,410.9693603515625,0.5041841268539429
56,128.1131591796875,410.761962890625,0.11666703224182129,146.13453674316406,417.33111572265625,0.044571101665496826,126.37873077392578,410.80194091796875,0.11197147518396378
57,128.1131591796875,410.5854797363281,0.2022227644920349,146.1034393310547,417.5162658691406,0.02392604574561119,126.37873077392578,410.774658203125,0.0452147051692009
58,128.1131591796875,410.2718200683594,0.2710512578487396,145.82711791992188,417.517822265625,0.03638867661356926,126.37873077392578,410.624267578125,0.07316720485687256
59,128.1131591796875,410.2113037109375,0.10963219404220581,145.7620849609375,417.5162658691406,0.006102708168327808,126.37873077392578,410.5669860839844,0.027079444378614426
60,127.91122436523438,410.05780029296875,0.09894479811191559,145.30853271484375,417.33111572265625,0.005505145061761141,126.53057098388672,410.51507568359375,0.01907666027545929
61,127.91122436523438,408.3595886230469,0.011434529908001423,139.32469177246094,404.5550231933594,0.000336803263053298,127.5964126586914,408.396240234375,0.004490694496780634
62,129.266357421875,406.6982421875,0.008293445222079754,139.32469177246094,404.5434875488281,0.00020657191635109484,127.81840515136719,408.396240234375,0.0020716842263936996
63,129.48106384277344,406.6982421875,0.0026094585191458464,139.32469177246094,404.5434875488281,0.00012794289796147496,127.89151763916016,408.396240234375,0.0011380852665752172
64,129.80751037597656,406.3984069824219,0.009359373711049557,139.34356689453125,404.2183532714844,0.0002339209313504398,128.5033416748047,408.433349609375,0.0027854538056999445
65,130.77236938476562,406.05828857421875,0.01530512422323227,139.8264923095703,404.0005798339844,0.0006020264117978513,129.147705078125,408.433349609375,0.0039057042449712753
66,130.8196258544922,406.3984069824219,0.0022696047089993954,139.99066162109375,404.5434875488281,0.00012076117127435282,129.26458740234375,408.55792236328125,0.001009729690849781
67,130.87109375,409.42889404296875,0.0017341634957119823,146.45777893066406,417.5334777832031,0.00011214114056201652,129.80780029296875,408.87567138671875,0.0008160332799889147
68,130.8196258544922,408.955810546875,0.042626820504665375,146.21487426757812,417.5334777832031,0.0013798157451674342,129.5687255859375,408.8817443847656,0.004651483613997698
69,130.98081970214844,408.955810546875,0.05558597669005394,146.45777893066406,417.82196044921875,0.0039351810701191425,129.80780029296875,408.8817443847656,0.007684584707021713
70,131.51878356933594,409.1312255859375,0.009819673374295235,146.78021240234375,417.82196044921875,0.0003846877661999315,130.5137481689453,408.9216003417969,0.00270170159637928
71,131.51878356933594,409.1312255859375,0.01434770692139864,146.84873962402344,417.5937194824219,0.0006304453127086163,130.5137481689453,408.8817443847656,0.0029967797454446554
72,131.2658233642578,408.955810546875,0.05052495375275612,146.78021240234375,417.5937194824219,0.002862481167539954,129.7156219482422,408.7589416503906,0.00461647380143404
73,131.2658233642578,408.7004699707031,0.13726477324962616,146.78021240234375,417.54901123046875,0.005045833066105843,129.7156219482422,408.6968078613281,0.008608024567365646
74,128.4010009765625,408.3434143066406,0.0043104966171085835,139.6375274658203,404.3086853027344,0.00013554275210481137,128.3529815673828,408.4291687011719,0.001286624581553042
75,128.1422119140625,408.3434143066406,0.015456344932317734,139.6375274658203,404.3086853027344,0.00026349068502895534,127.7743148803711,408.3829040527344,0.0024910815991461277
76,128.1422119140625,408.3434143066406,0.011776616796851158,139.6375274658203,404.3086853027344,0.00025661714607849717,127.6944351196289,408.3527526855469,0.0023250021040439606
